cohort,cohort_label,is_clinical,n_test,rule,partition,n_levels_admissible,level_max_auc,level_min_auc,observed_auc_gap,mbc_gap_aligned,mbc_gap_aligned_recalibrated,mbc_gap_maxmin,casemix_attributable_fraction,casemix_attributable_fraction_recalibrated,boot_fraction_lo95,boot_fraction_hi95,boot_n,lp_sd_ratio,max_abs_calibration_slope_minus_1,min_calibration_p,n_boot,seed,row_type,level,level_n,level_n_pos,level_prevalence,level_obs_auc,level_obs_auc_var,level_mbc,level_mbc_recalibrated,level_lp_sd,level_calibration_intercept,level_calibration_slope,level_calibration_p
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.0024615034392373447,0.1444976215806052,0.03275220268885792,-0.019919496846282657,1.1693341034948987,-0.5054701152112249,0.21986516552864643,400,1.2400488097604687,0.8936797278125899,0.006530707101683558,400,42,level,0,3809.0,437.0,0.11472827513783145,0.6261065009731508,0.00020476639799989657,0.6609940374649288,0.6609940374649288,0.57032239379436,-0.4941765333190878,0.7448002316926302,0.006530707101683558
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.0024615034392373447,0.1444976215806052,0.03275220268885792,-0.019919496846282657,1.1693341034948987,-0.5054701152112249,0.21986516552864643,400,1.2400488097604687,0.8936797278125899,0.006530707101683558,400,42,level,1,96.0,8.0,0.08333333333333333,0.7244318181818182,0.009843708652241177,0.6328400513301038,0.7448807376726915,0.4599193106798152,1.795958383913696,1.8936797278125899,0.47666454792375024
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.0024615034392373447,0.1444976215806052,0.03275220268885792,-0.019919496846282657,1.1693341034948987,-0.5054701152112249,0.21986516552864643,400,1.2400488097604687,0.8936797278125899,0.006530707101683558,400,42,level,2,15275.0,1803.0,0.11803600654664484,0.6410663130069572,4.8896295557985354e-05,0.6391008415591352,0.636703910705344,0.49945451074147235,0.02714628126111098,0.9846551534943782,0.07738498691978317
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.0024615034392373447,0.1444976215806052,0.03275220268885792,-0.019919496846282657,1.1693341034948987,-0.5054701152112249,0.21986516552864643,400,1.2400488097604687,0.8936797278125899,0.006530707101683558,400,42,level,3,402.0,26.0,0.06467661691542288,0.6008592471358429,0.0020513496874450315,0.6353015547693411,0.6003831160920863,0.48141173743303495,-1.0157075948951497,0.733557678255355,0.05685050945051938
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.0024615034392373447,0.1444976215806052,0.03275220268885792,-0.019919496846282657,1.1693341034948987,-0.5054701152112249,0.21986516552864643,400,1.2400488097604687,0.8936797278125899,0.006530707101683558,400,42,level,4,308.0,32.0,0.1038961038961039,0.683990036231884,0.0022472166638496448,0.6282418347760709,0.6863789487179168,0.46371471458102054,1.109194360024938,1.5001415489603502,0.4647442302739174
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.0024615034392373447,0.1444976215806052,0.03275220268885792,-0.019919496846282657,1.1693341034948987,-0.5054701152112249,0.21986516552864643,400,1.2400488097604687,0.8936797278125899,0.006530707101683558,400,42,partition,,,,,,,,,,,,
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,1,0.01348071459925726,0.002075465143907773,0.002075465143907773,0.002075465143907773,0.1539580953684847,0.1539580953684847,-1.0964455938444275,1.492759488865826,400,1.0215101992692017,0.13243256345688448,0.021736626905431485,400,42,level,0,10590.0,1234.0,0.11652502360717658,0.6454490934149504,6.994605544801674e-05,0.6443346734431162,0.6443346734431162,0.5184714908140527,0.005763376815302464,0.9892995209305603,0.6761912482003756
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,1,0.01348071459925726,0.002075465143907773,0.002075465143907773,0.002075465143907773,0.1539580953684847,0.1539580953684847,-1.0964455938444275,1.492759488865826,400,1.0215101992692017,0.13243256345688448,0.021736626905431485,400,42,level,1,9300.0,1072.0,0.11526881720430107,0.6319683788156931,8.303730412261235e-05,0.6422592082992085,0.6422592082992085,0.5075539051739006,-0.2116362217097694,0.8675674365431155,0.021736626905431485
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,1,0.01348071459925726,0.002075465143907773,0.002075465143907773,0.002075465143907773,0.1539580953684847,0.1539580953684847,-1.0964455938444275,1.492759488865826,400,1.0215101992692017,0.13243256345688448,0.021736626905431485,400,42,partition,,,,,,,,,,,,
diabetes130,Diabetes 130,True,19890,m30,age_group,9,2,9,0.21604857190810656,0.20226503141835606,0.17855234401315734,0.20226503141835606,0.9362016588769069,0.826445379556141,0.2551654488948212,1.136625275665794,400,3.3035828296356273,0.3476153529428665,0.15654917892198605,400,42,level,1,130.0,11.0,0.08461538461538462,0.7440794499618029,0.008510940940238226,0.6965773839626983,0.7555446797062535,0.6471690459709021,1.2814904984748399,1.3476153529428665,0.357672328230292
